"Species","Longitude","Latitude"
"rattus",72.209,30.769
"rattus",68.729,25.968
"rattus",96.25,27.38333333
"rattus",96.9,27.2
"rattus",91.3965,23.0107
"rattus",91.2375,23.4371
"rattus",92.963,23.687
"rattus",92.45972,22.10944
"rattus",92.41971,22.04888
"rattus",87.31667,27.42772
"rattus",73.83499,15.37987
"rattus",87.28333,27.55
"rattus",83.61667,28.65
"rattus",72.63,34.92
"rattus",92.4909,23.9289
"rattus",87.37266,27.30405
"rattus",78.69,10.81
"rattus",73.30532,33.25867
"rattus",73.0667,33.6
"rattus",83.95,29.2
"rattus",83.86667,28.8
"rattus",87.2715,27.16483
"rattus",72.22,34.43
"rattus",93.5174786,25.66581745
"rattus",93.52026044,25.64387756
"rattus",93.44500771,25.52190597
"rattus",92.69893508,27.03389861
"rattus",92.67034591,27.04711637
"rattus",92.7797898,27.04325862
"rattus",93.07926664,27.02865854
"rattus",93.07896637,26.99619771
"tatera",80.23333333,8.116666667
"tatera",80.5,6.433333333
"tatera",80.16666667,8.533333333
"tatera",80.21666667,8.533333333
"tatera",81.25,6.2
"tatera",80.88333333,8
"tatera",80.43333333,6.983333333
"tatera",79.31666667,13.58333333
"tatera",78.88333333,15.38333333
"tatera",78.26666667,15.86666667
"tatera",78.9,16.05
"tatera",82.86666667,18.33333333
"tatera",80.03333333,13.58333333
"tatera",79.48333333,13.73333333
"tatera",79.98333333,14.91666667
"tatera",79.35,13.96666667
"tatera",79.41666667,13.65
"tatera",78.98333333,14.5
"tatera",79.11666667,15.56666667
"tatera",82.01666667,17.48333333
"tatera",79.16666667,14.18333333
"tatera",79.43333333,16.48333333
"tatera",79.98333333,14.13333333
"tatera",78.76666667,19.36666667
"tatera",78.83333333,16.46666667
"tatera",78.68333333,16.28333333
"tatera",78.76666667,16.36666667
"tatera",78.25,17.75
"tatera",78.93333333,16.7
"tatera",79.21666667,16.5
"tatera",80.16666667,18.2
"tatera",69.56666667,23.7
"tatera",76.76666667,30.36666667
"tatera",75.75,29.16666667
"tatera",76.26666667,32.43333333
"tatera",77.5,30.75
"tatera",77.11666667,30.91666667
"tatera",74.83333333,32.75
"tatera",75.65,32.28333333
"tatera",78.16666667,13.33333333
"tatera",76.66666667,12.58333333
"tatera",76.5,12.3
"tatera",76.98333333,8.483333333
"tatera",75.85,30.88333333
"tatera",79.83333333,10.76666667
"tatera",79.83333333,11.01666667
"tatera",76.56666667,11.61666667
"tatera",79.5,10.5
"tatera",81.16666667,28.5
"tatera",67.1,29.03333333
"tatera",65.76666667,26.41666667
"tatera",67.28333333,30.58333333
"tatera",70.6,32.98333333
"tatera",68.05,30.28333333
"tatera",67.05,24.86666667
"tatera",78.08333333,17.61666667
"tatera",78.35,19.1
"tatera",75.13333333,32.93333333
"tatera",85.33333,23.35
"tatera",78.77,10.83
"tatera",78.69,10.81
"tatera",73.06667,19.3
"tatera",72.33333,33.75
"tatera",69.16663,28.14993
"tatera",68.4578,28.2814
"meriones",67.330556,30.296111
"meriones",66.380556,27.547222
"meriones",64.123333,29.310278
"meriones",67.363889,30.314444
"meriones",66.633333,25.8
"meriones",68.464167,31.204722
"meriones",66.866667,30.033333
"meriones",67.665556,30.518056
"meriones",67.733333,30.366667
"meriones",68.470278,31.198333
"meriones",65.911667,28.027222
"meriones",65.939722,27.703056
"meriones",66.01667,29.55
"meriones",66.5,29.166667
"meriones",63.474444,25.263889
"meriones",68.55,31.275
"meriones",64.430278,25.896944
"meriones",64.647222,29.265
"meriones",64.4167,28.8833
"meriones",64.333056,29.069444
"meriones",68.5,26.05
"meriones",67.866667,26.05
"meriones",67.216667,25.3
"meriones",67.583333,24.716667
"meriones",68.1375,25.954722
"meriones",67.050003,24.866671
